studyYear,replicate,plotNumber,rowNumber,colNumber,Chalky seeds|LSU_01:0000107,Days to heading|LSU_01:0000130,Grain length average|LSU_01:0000102,Grain length-width ratio average|LSU_01:0000105,Grain whiteness average|LSU_01:0000106,Grain width average|LSU_01:0000103,Harvest moisture|LSU_01:0000136,Harvest weight|LSU_01:0000137,Lodging|LSU_01:0000135,Plant height|LSU_01:0000132,Plot stand near flood|LSU_01:0000133,Ratoon moisture|LSU_01:0000139,Ratoon weight|LSU_01:0000140,Ratoon yield|LSU_01:0000141,Seedling vigor|LSU_01:0000131,Total milling percentage|LSU_01:0000101,Whole milling percentage|LSU_01:0000100,Yield
2022,1,13,4,4,8.5,92,7.5,3.23,38.3,2.32,20.1,14.89,0,90,9,18.2,3.35,2076.197637,3,67.56,59.75,9013.88595
2022,1,3,1,3,15.9,87,7.15,3.03,39.6,2.36,17.1,16.01,0,95,7,12.9,1.26,831.4943103,3,70.46,64.62,10055.79576
2022,1,15,4,2,12,87,7.1,3.3,39.3,2.15,15.4,15.31,0,98,7,14.3,2.52,1636.258608,5,70.12,63.29,9813.323944
2022,1,20,5,4,11.6,86,6.96,3.09,41.1,2.25,15.8,16.84,0,101,7,14.4,2.36,1530.581111,5,70.74,65.44,10742.97983
2022,1,16,4,1,12.9,89,6.95,3.03,41.1,2.29,16.5,15.27,0,87,9,13.2,0.73,480.0795061,3,71.09,66.12,9660.42191
2022,1,12,3,4,7.3,88,6.07,2.27,39.9,2.67,22.4,16.52,0,93,7,11.3,1.46,981.1763178,5,65.85,61.22,9712.753031
2022,1,11,3,3,10.5,89,6.08,2.36,38.8,2.58,19.7,14.59,0,88,7,6.89,0.32,225.7443485,5,66.24,62.89,8876.493081
2022,1,1,1,1,10.7,88,6.94,3.13,39.3,2.22,18,16.48,0,96,7,14.9,1.38,889.7730106,5,70.73,64.49,10238.62511
2022,1,4,1,4,14.3,92,6.98,3.05,42,2.29,23.9,17.13,0,99,7,13.6,0.85,556.4206636,3,65.82,55.35,9876.716805
2022,1,17,5,1,12.9,89,6.77,2.86,39.6,2.37,18.4,15.69,0,100,9,12.9,0.73,481.7387671,5,68.63,63.01,9700.266903
2022,1,9,3,1,7.3,89,6.08,2.32,36.2,2.62,22.4,16.28,0,95,7,13.4,1.28,839.8436509,5,66.37,63.8,9571.64766
2022,1,2,1,2,18.9,86,6.96,3.14,41.8,2.22,16.3,15.06,0,83,7,13.6,1.66,1086.656825,5,70.15,62.96,9550.387905
2022,1,7,2,2,20.6,86,6.96,3.03,41.5,2.3,15.9,15.26,0,91,7,10.9,0.9,607.5622688,5,68.18,60.92,9723.46625
2022,1,19,5,3,23.3,86,6.93,3.01,40.4,2.3,15.5,16.33,0,94,7,13,1.32,870.089175,3,69.57,61.42,10454.74574
2022,1,5,2,4,15.9,86,6.74,2.79,41.3,2.42,15.9,14.66,0,96,7,13.5,1.82,1192.773762,3,70.54,65.69,9341.15434
2022,1,14,4,3,16.3,86,6.8,2.88,45.1,2.36,17.3,15.14,0,95,7,13.7,1.22,797.7029683,5,68.5,61.9,9486.411651
2022,1,18,5,2,13.8,87,6.97,3.11,41.6,2.24,17.3,16.01,0,97,7,12.1,1.09,725.9153078,5,69.73,61.73,10031.5357
