studyYear,studyDesign,plantingDate,harvestDate,germplasmName,observationLevel,observationUnitName,replicate,plotNumber,rowNumber,colNumber,Chalky seeds|LSU_01:0000107,Days to heading|LSU_01:0000130,Emergence date|LSU_01:0000128,Grain length average|LSU_01:0000102,Grain length-width ratio average|LSU_01:0000105,Grain whiteness average|LSU_01:0000106,Grain width average|LSU_01:0000103,Harvest moisture|LSU_01:0000136,Harvest weight|LSU_01:0000137,Heading date|LSU_01:0000129,Lodging|LSU_01:0000135,Plant height|LSU_01:0000132,Plot stand near flood|LSU_01:0000133,Ratoon moisture|LSU_01:0000139,Ratoon weight|LSU_01:0000140,Ratoon yield|LSU_01:0000141,Seedling vigor|LSU_01:0000131,Total milling percentage|LSU_01:0000101,Whole milling percentage|LSU_01:0000100,Yield
2024,RCBD,2024-February-26,2024-July-22,19T-029-4,plot,24_AYT_CL_RRS-rep1-19T-029-4_30,1,30,8,3,14.3,97,3/9/2024,6.5,2.78,43,2.34,19.2,16.33,6/14/2024,0,103,7,17.3,5.42,3396.107138,5,69.27,61.08,9996.963978
2024,RCBD,2024-February-26,2024-July-22,19T-030-24,plot,24_AYT_CL_RRS-rep1-19T-030-24_4,1,4,1,4,18.7,94,3/9/2024,6.78,2.94,43,2.31,16.5,16.74,6/11/2024,0,103,7,13.7,5.73,3746.640335,3,70.01,64.36,10590.40359
2024,RCBD,2024-February-26,2024-July-22,19T-033-31,plot,24_AYT_CL_RRS-rep1-19T-033-31_15,1,15,4,2,16.2,98,3/9/2024,6.65,3.14,43.7,2.12,17.6,16.84,6/15/2024,0,100,7,17.2,4.62,2898.337119,5,69.67,63.49,10513.31993
2024,RCBD,2024-February-26,2024-July-22,19T-033-35,plot,24_AYT_CL_RRS-rep1-19T-033-35_20,1,20,5,4,16.2,98,3/9/2024,6.72,3.11,42.3,2.16,19.1,17.14,6/15/2024,0,103,7,19.3,5.79,3540.207233,3,69.1,62.58,10505.81916
2024,RCBD,2024-February-26,2024-July-22,19T-033-38,plot,24_AYT_CL_RRS-rep1-19T-033-38_24,1,24,6,1,16.8,98,3/9/2024,6.75,3.18,43,2.12,18.9,16.4,6/15/2024,0,109,5,17.3,4.37,2738.189704,5,68.53,61,10077.0934
2024,RCBD,2024-February-26,2024-July-22,19T-033-63,plot,24_AYT_CL_RRS-rep1-19T-033-63_16,1,16,4,1,13.7,99,3/9/2024,6.63,3.04,42.1,2.18,18.4,16.11,6/16/2024,0,97,7,17.8,4.62,2877.334676,5,69.39,63.15,9959.929879
2024,RCBD,2024-February-26,2024-July-22,19T-179-23,plot,24_AYT_CL_RRS-rep1-19T-179-23_14,1,14,4,3,23.4,99,3/9/2024,6.03,2.23,42.3,2.7,20.7,20.11,6/16/2024,0,116,7,16.9,4.65,2927.726901,3,67.87,61.91,12082.47318
2024,RCBD,2024-February-26,2024-July-22,19T-183-CL-1,plot,24_AYT_CL_RRS-rep1-19T-183-CL-1_27,1,27,7,3,32.9,97,3/9/2024,5.7,2.24,40.1,2.55,20.6,18.24,6/14/2024,0,108,7,19.4,4.06,2479.348991,3,67.32,60.78,10972.76096
2024,RCBD,2024-February-26,2024-July-22,19T-183-CL-6,plot,24_AYT_CL_RRS-rep1-19T-183-CL-6_12,1,12,3,4,23.7,94,3/9/2024,5.98,2.39,40.1,2.5,18.7,19.44,6/11/2024,0,98,7,15.3,4.94,3170.202074,3,70.12,64.06,11974.49999
2024,RCBD,2024-February-26,2024-July-22,202L2096,plot,24_AYT_CL_RRS-rep1-202L2096_23,1,23,6,2,8.6,99,3/9/2024,7.05,3.29,37.1,2.14,22.6,13.75,6/16/2024,0,114,5,17.3,3.87,2424.895687,5,68.49,62.4,8063.326406
