PLOT,SEASON,REP,SPECIES,RATE,TRTMT,CC_RATE,SOILTYPE,PH1,P1,K1,Ca1,Mg1,Na1,S1,Cu1,Zn1,Bases1,CEC1,OM1,NITR1,AMMON1,PH2,P2,K2,Ca2,Mg2,Na2,S2,Cu2,Zn2,Bases2,CEC2,OM2,CCNIT2,CCCarb2,CN_RATIO2,TOTNIT2,WeedBio2,CCBio2,NITR2,AMMON2,PH3,P3,K3,Ca3,Mg3,Na3,S3,Cu3,Zn3,Bases3,CEC3,OM3,NITR3,AMMON3,PLHT,POP,YLD
101,2,1,1,1,7,RADL,1,7.89,23.79,150.21,5127.9,424.38,213.93,37.81,1.81,1.69,30.46,12.78,1.9,2.17,0.29,8.27,24.59,151.8,4766.35,397.46,88.38,18.98,2.02,1.6,27.89,11.83,1.41,2.5,71.4,28.56,43.06,215.29,1722.34,0.51,0.29,7.94,24.76,153.49,5424.91,409.62,40.37,17.24,1.96,1.7,31.08,11.75,1.37,1.15,0.29,44,97332.94,57.4
102,2,1,3,3,6,RYEH,1,7.84,27.71,126.57,5324.48,351.83,80.49,23.51,1.89,1.82,30.2,12.21,1.6,1.98,0.26,7.93,29.06,178.96,4567.03,339.66,34.73,13.18,1.97,1.93,26.25,12.53,1.77,1.3,34.3,26.38,8.4,0,645.86,0.59,0.34,7.96,29.1,172.61,5043.42,326.88,22.99,14.47,1.96,1.92,28.46,12.18,1.59,1.4,0.17,43.67,72888.6,49.04
103,2,1,4,0,10,FALL,1,8.11,25,128.91,5339.69,508.62,423.39,61.03,1.56,1.75,33.07,12.18,1.6,2.4,0.26,8.6,20.64,135.31,5106.6,476.89,140.8,24.35,1.58,1.87,30.43,11.77,1.39,0,0,,0,645.86,0,0.54,0.34,8.11,24.67,137.13,5269.6,464.69,27.94,18.4,1.53,1.68,30.66,11.85,1.43,1.2,0.18,38.33,84444.11,50.9
104,2,1,1,2,8,RADM,1,7.75,23.4,118.59,5573.89,508.03,833.93,56.5,1.69,1.67,36,11.91,1.5,2.55,0.26,8.04,21.82,149.63,5387.92,532.55,338.09,41.28,1.66,1.56,33.19,12.04,1.52,2.6,70.6,27.15,33.59,215.29,1291.75,0.72,0.23,8.28,21.04,141.96,5658.02,509.14,87.89,21.26,1.58,1.43,33.24,11.69,1.35,1.81,0.17,36.33,95999.62,54.63
105,2,1,2,3,3,CCH,1,7.9,22.6,183.46,5845.91,539.96,364.8,45.41,1.52,1.44,35.75,12.37,1.7,2.04,0.26,8.34,20.82,160.16,5652.66,461.04,151.53,27.88,1.67,1.57,33.14,12.02,1.51,1.2,42.8,35.67,5.17,430.57,430.57,0.59,0.2,8.04,21.56,150.85,6004.79,488.3,52.35,22.06,1.67,1.58,34.67,12.02,1.51,1.28,0.21,39.33,94221.85,47.18
106,2,1,3,1,4,RYEL,1,7.78,18.68,132.93,6704.31,598.42,488.46,74.34,1.53,1.32,40.93,12.26,1.6,3.69,0.26,8.14,31.21,169.35,7161.09,570.42,149.11,31.21,1.72,1.61,41.6,11.94,1.47,1.3,37.6,28.92,33.58,0,2583.45,0.54,0.17,8.23,17.8,128.52,6994.44,494.05,35.05,23.22,1.46,1.32,39.54,11.53,1.26,1.21,0.38,37.33,52444.23,47.8
107,2,1,2,2,2,CCM,1,8.36,16.85,119.83,7556.55,847.02,834.23,132.12,1.31,1.5,48.72,11.58,1.3,2.26,0.23,8.8,14.61,128.32,7401.21,642.49,154.14,35.58,1.37,1.34,43.31,11.42,1.21,0,0,,0,215.29,0,0.34,0.28,8.22,20.06,140.26,7832.72,621.29,35.63,24.22,1.31,1.59,44.81,11.58,1.29,0.77,0.29,26.67,61333.09,49.35
108,2,1,1,3,9,RADH,1,8.67,18.99,135.66,7892.34,845.06,1158.4,140.68,1.1,1.51,51.83,11.61,1.3,1.83,0.23,8.36,19.69,170.77,7853.44,810.66,345.48,63.58,1.29,1.75,47.91,11.72,1.36,3,91.2,30.4,6.46,215.29,215.3,0.52,0.27,8.56,19.04,133.79,8018.79,702,72.11,24.43,1.11,1.73,46.55,11.31,1.16,0.93,0.28,28,73777.48,48.11
109,2,1,3,2,5,RYEM,1,8.45,19.75,122.5,8099.14,826.01,566.45,105.85,1.03,1.61,50.1,12.24,1.6,2.58,0.26,8.77,13.89,112.38,7793.87,540.62,87.18,21.59,1.16,1.4,44.1,11.17,1.09,1.6,26,16.25,24.11,0,1507.01,0.54,0.29,8.19,15.72,135.46,8298.22,560.14,20.88,21.01,1.01,1.73,46.56,11.39,1.2,0.65,0.24,34.33,47999.81,46.25
110,2,1,2,1,1,CCL,1,8.35,20.9,113.09,7473.04,762.69,559.16,88.62,1.01,2.01,46.39,11.96,1.5,,0.27,8.36,21.49,142.99,8485.29,641.19,128.54,31.37,1.18,2.13,48.65,11.96,1.48,1.5,29.4,19.6,3.23,430.57,215.29,0.69,0.24,8.35,16.78,121.18,9097.7,619.33,37.6,22.55,1.03,1.91,51.08,11.53,1.26,1.16,0.23,28.67,57777.55,48.42
201,2,2,4,0,10,FALL,1,7.86,24.95,169.38,5109.25,365.36,190.76,31.9,1.77,1.29,29.83,12.53,1.8,1.22,0.21,8.17,24.96,184.69,5290.42,400.36,123.91,23.18,1.81,1.39,30.77,11.99,1.5,0,0,,0,1076.44,0,0.77,0.25,7.84,22.04,161.24,5312.99,388.1,43.88,19.25,1.81,1.42,30.38,11.96,1.48,1.64,0.47,44.67,104888.47,49.37
